time,value
2024-02-11T08:38:03.653745368Z,60
2024-02-11T08:38:04.885504945Z,158
2024-02-11T08:38:09.538809434Z,60
2024-02-11T08:38:16.853951592Z,158
2024-02-11T08:38:19.366728442Z,60
2024-02-11T08:39:15.372917117Z,158
2024-02-11T08:39:16.777430439Z,60
2024-02-11T08:39:21.580455943Z,158
2024-02-11T08:39:24.270523887Z,60
2024-02-11T08:39:52.019003091Z,158
2024-02-11T08:39:56.228032354Z,60
2024-02-11T08:40:02.433550801Z,158
2024-02-11T08:40:03.897083259Z,60
2024-02-11T08:40:28.022774414Z,158
2024-02-11T08:40:28.025491154Z,60
2024-02-11T08:40:56.018964529Z,158
2024-02-11T08:40:58.070884283Z,60
2024-02-11T08:41:28.491359255Z,158
2024-02-11T08:41:30.255731321Z,60
2024-02-11T08:42:30.533978168Z,158
2024-02-11T08:42:32.569364351Z,60
2024-02-11T08:43:46.106154682Z,158
2024-02-11T08:43:48.073573929Z,60
2024-02-11T08:43:52.91786338Z,158
2024-02-11T08:43:52.919182427Z,60
2024-02-11T08:44:30.242603587Z,158
2024-02-11T08:44:32.617761203Z,60
2024-02-11T08:45:18.506320657Z,158
2024-02-11T08:45:20.705828667Z,60
2024-02-11T08:45:48.113644275Z,158
2024-02-11T08:45:49.671179168Z,60
2024-02-11T08:47:10.972006718Z,158
2024-02-11T08:47:13.136986342Z,61
2024-02-11T08:47:49.575810347Z,61
2024-02-11T08:48:40.990005134Z,61
2024-02-11T08:48:49.290383306Z,61
2024-02-11T08:49:32.369239028Z,61
2024-02-11T08:49:57.301985935Z,73
2024-02-11T08:49:59.901473294Z,74
2024-02-11T08:50:01.725844842Z,75
2024-02-11T08:50:04.168519834Z,77
2024-02-11T08:50:06.343227112Z,78
2024-02-11T08:50:16.669816782Z,167
2024-02-11T08:50:18.604968157Z,78
2024-02-11T08:50:23.284368466Z,78
2024-02-11T08:50:31.303007194Z,77
2024-02-11T08:50:39.314450223Z,76
2024-02-11T08:50:45.667112636Z,76
2024-02-11T08:50:48.045251188Z,75
2024-02-11T08:50:50.177679164Z,79
2024-02-11T08:50:52.206161844Z,82
2024-02-11T08:50:54.27694679Z,85
2024-02-11T08:50:56.348102816Z,89
2024-02-11T08:50:58.660572652Z,92
2024-02-11T08:51:03.258828846Z,93
2024-02-11T08:51:05.301039132Z,94
2024-02-11T08:51:09.293855332Z,95
2024-02-11T08:51:11.358288058Z,96
2024-02-11T08:51:13.401732322Z,188.8000030517578
2024-02-11T08:51:17.792506877Z,98
2024-02-11T08:51:26.395287227Z,177
2024-02-11T08:51:28.477330212Z,98
2024-02-11T08:51:51.80337205Z,98
2024-02-11T08:52:40.510766476Z,97
2024-02-11T08:52:56.49947297Z,96
2024-02-11T08:53:50.714959505Z,95
2024-02-11T08:54:04.253267891Z,94
2024-02-11T08:54:12.765486369Z,95
2024-02-11T08:54:22.969217756Z,94
2024-02-11T08:54:34.271600817Z,94
2024-02-11T08:54:46.994899585Z,93
2024-02-11T08:54:54.625876119Z,93
2024-02-11T08:55:00.19936939Z,92
2024-02-11T08:55:05.951708636Z,91
2024-02-11T08:55:27.439132881Z,90
2024-02-11T08:55:33.637232951Z,89
2024-02-11T08:55:44.671725652Z,88
2024-02-11T08:55:46.786795966Z,87
2024-02-11T08:55:54.700452282Z,171
2024-02-11T16:37:32.146536955Z,57
2024-02-11T16:37:37.991830605Z,56
2024-02-11T16:38:30.790153877Z,56
2024-02-11T16:38:55.008547255Z,58
2024-02-11T16:38:57.340844047Z,60
2024-02-11T16:39:01.12012933Z,61
2024-02-11T16:39:03.126218912Z,62
2024-02-11T16:39:11.560228727Z,67
2024-02-11T16:39:15.114660879Z,82
2024-02-11T16:39:15.733015456Z,87
2024-02-11T16:39:19.624735015Z,89
2024-02-11T16:39:22.099224236Z,92
2024-02-11T16:39:24.88999643Z,93
2024-02-11T16:39:38.251796751Z,94
2024-02-11T16:39:57.644814086Z,186.8000030517578
2024-02-11T16:39:59.392518802Z,93
2024-02-11T16:40:12.450635878Z,92
2024-02-11T16:40:19.879603256Z,91
2024-02-11T16:40:22.419012614Z,90
2024-02-11T16:40:29.480040738Z,89
2024-02-11T16:40:35.971456189Z,88
2024-02-11T16:40:37.527890817Z,89
2024-02-11T16:40:40.026993649Z,88
2024-02-11T16:40:41.938616938Z,87
2024-02-11T16:40:48.032773656Z,86
2024-02-11T16:40:51.524793051Z,86
2024-02-11T16:40:53.506123331Z,85
2024-02-11T16:41:03.994066439Z,83
2024-02-11T16:41:04.404858609Z,82
2024-02-11T16:41:07.659793998Z,81
2024-02-11T16:41:08.706600586Z,80
2024-02-11T16:41:12.812748035Z,79
2024-02-11T16:41:14.866644784Z,78
2024-02-11T16:41:22.534721918Z,77
2024-02-11T16:41:26.17044374Z,75
2024-02-11T16:41:27.805355183Z,74
2024-02-11T16:41:36.874276218Z,73
2024-02-11T16:41:40.251374823Z,72
2024-02-11T16:41:48.04023394Z,71
2024-02-11T16:41:53.335095272Z,70
2024-02-11T16:42:01.874779099Z,69
2024-02-11T16:42:08.306454284Z,68
2024-02-11T16:42:11.688574136Z,67
2024-02-11T16:42:15.891522439Z,66
2024-02-11T16:42:23.992199549Z,65
2024-02-11T16:42:33.401735846Z,64
2024-02-11T16:42:42.777249134Z,63
2024-02-11T16:42:52.634749232Z,62
2024-02-11T16:43:05.772063174Z,61
2024-02-11T16:43:19.154086758Z,60
2024-02-11T16:43:45.721160398Z,59
2024-02-11T16:43:48.522481988Z,169.8000030517578
2024-02-11T16:43:48.524501108Z,59
2024-02-11T16:44:09.780720304Z,58
2024-02-11T16:45:10.215514054Z,57
2024-02-11T16:45:53.514883456Z,168.8000030517578
2024-02-11T16:45:56.324963327Z,56
2024-02-11T16:46:49.314647793Z,56
2024-02-11T16:47:01.968020276Z,56
2024-02-11T16:47:40.560020857Z,55
2024-02-11T16:47:48.354579878Z,56
2024-02-11T16:48:10.715270639Z,55
2024-02-11T16:48:10.716698882Z,56
2024-02-11T16:48:12.70608272Z,55
2024-02-11T16:48:48.203871876Z,167.8000030517578
2024-02-11T16:48:49.079916494Z,55
2024-02-11T16:49:43.083502013Z,167.8000030517578
2024-02-11T16:49:45.185754476Z,55
2024-02-11T16:50:04.94029542Z,167.8000030517578
2024-02-11T16:50:04.942114009Z,55
2024-02-11T16:52:13.487353235Z,167.8000030517578
2024-02-11T16:52:15.538961414Z,55
2024-02-11T16:52:18.397679419Z,167.8000030517578
2024-02-11T16:52:18.399075333Z,55
2024-02-11T16:53:07.530935515Z,167.8000030517578
2024-02-11T16:53:09.134246337Z,55
2024-02-11T16:53:24.356010189Z,167.8000030517578
2024-02-11T16:53:28.627632054Z,54
2024-02-11T16:54:32.574092177Z,55
2024-02-11T16:54:36.424066451Z,167.8000030517578
2024-02-11T16:54:38.45935145Z,55
2024-02-11T16:55:22.641335475Z,167.8000030517578
