time,value
2024-02-10T17:40:44.861019434Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:44.8627012Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:40:49.33885437Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:49.340173162Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:40:51.47154852Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:51.473453867Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:40:52.074052234Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:54.047750108Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 120"
2024-02-10T17:40:54.049405448Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:54.050953697Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:40:55.589122965Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:55.590402181Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:40:56.709073394Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:56.710562778Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:40:58.610906769Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:40:58.612191867Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:40:58.613375423Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:41:00.191052868Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:41:00.192441858Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:41:00.893120111Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:41:02.889050172Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 120"
2024-02-10T17:41:02.890435796Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:41:02.892067121Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 113"
2024-02-10T17:41:04.41104083Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:41:04.4124102Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 112"
2024-02-10T17:41:06.881155253Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:41:06.882712936Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 122"
2024-02-10T17:41:06.884287677Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 114"
2024-02-10T17:41:07.699062237Z,"'Temperature = 18.20  Humidity = 55.00  Air Quality = 110"
