time,value
2024-02-14T17:52:19.137232146Z,169
2024-02-14T17:52:20.912161193Z,168
2024-02-14T17:52:21.676971045Z,169
2024-02-14T17:52:22.437106218Z,168
2024-02-14T17:52:23.15727387Z,169
2024-02-14T17:52:23.867140099Z,168
2024-02-14T17:52:25.1773393Z,166
2024-02-14T17:52:25.877343382Z,168
2024-02-14T17:52:26.857261977Z,166
2024-02-14T17:52:30.162102239Z,165
2024-02-14T17:52:31.562144818Z,166
2024-02-14T17:52:32.252127314Z,165
2024-02-14T17:52:32.996820784Z,166
2024-02-14T17:52:33.69209861Z,165
2024-02-14T17:52:34.447440509Z,163
2024-02-14T17:52:37.96734736Z,162
2024-02-14T17:52:39.017333156Z,163
2024-02-14T17:52:39.60720009Z,162
2024-02-14T17:52:42.277489373Z,169
2024-02-14T17:52:42.279004002Z,162
2024-02-14T17:52:43.51230177Z,161
2024-02-14T17:52:45.512068455Z,169
2024-02-14T17:52:46.217042849Z,162
2024-02-14T17:52:47.12701072Z,161
2024-02-14T17:52:47.832161788Z,170
2024-02-14T17:52:48.536888362Z,169
2024-02-14T17:52:49.256887844Z,171
2024-02-14T17:52:50.397050878Z,229
2024-02-14T17:52:51.096696039Z,151
2024-02-14T17:52:51.802104517Z,136
2024-02-14T17:52:52.507550903Z,137
2024-02-14T17:52:53.232046929Z,142
2024-02-14T17:52:53.922003891Z,137
2024-02-14T17:52:54.642662169Z,124
2024-02-14T17:52:55.396995302Z,117
2024-02-14T17:52:56.101993005Z,116
2024-02-14T17:52:57.022210602Z,114
2024-02-14T17:52:57.676823211Z,112
2024-02-14T17:52:58.4169399Z,111
2024-02-14T17:52:59.142254682Z,115
2024-02-14T17:52:59.877122886Z,118
2024-02-14T17:53:00.567009952Z,124
2024-02-14T17:53:01.256946073Z,127
2024-02-14T17:53:01.962094235Z,130
2024-02-14T17:53:02.657333412Z,128
2024-02-14T17:53:03.357112692Z,126
2024-02-14T17:53:04.05719052Z,124
2024-02-14T17:53:04.756854659Z,123
2024-02-14T17:53:05.466772132Z,121
2024-02-14T17:53:06.161982974Z,117
2024-02-14T17:53:06.877133451Z,120
2024-02-14T17:53:07.582336184Z,135
2024-02-14T17:53:08.277199194Z,126
2024-02-14T17:53:08.987172403Z,103
2024-02-14T17:53:09.867121652Z,109
2024-02-14T17:53:10.591930058Z,115
2024-02-14T17:53:11.317557167Z,116
2024-02-14T17:53:12.096867144Z,124
2024-02-14T17:53:12.782064752Z,128
2024-02-14T17:53:13.491984581Z,117
2024-02-14T17:53:14.236975893Z,108
2024-02-14T17:53:14.936910589Z,100
2024-02-14T17:53:15.647151393Z,96
2024-02-14T17:53:16.362045237Z,93
2024-02-14T17:53:17.052270369Z,90
2024-02-14T17:53:17.897150635Z,89
2024-02-14T17:53:18.612215127Z,87
2024-02-14T17:53:19.292528832Z,85
2024-02-14T17:53:20.377075895Z,120
2024-02-14T17:53:21.067075692Z,96
2024-02-14T17:53:21.777151158Z,100
2024-02-14T17:53:22.46711311Z,108
2024-02-14T17:53:23.167801322Z,115
2024-02-14T17:53:23.901804972Z,123
2024-02-14T17:53:24.616893057Z,128
2024-02-14T17:53:25.321960691Z,153
2024-02-14T17:53:26.022055478Z,150
2024-02-14T17:53:26.716954076Z,151
2024-02-14T17:53:27.427084241Z,154
2024-02-14T17:53:28.137073319Z,158
2024-02-14T17:53:28.867068775Z,161
2024-02-14T17:53:29.59206583Z,160
2024-02-14T17:53:30.287746999Z,148
2024-02-14T17:53:30.98362766Z,145
2024-02-14T17:53:31.677138979Z,144
2024-02-14T17:53:32.367173306Z,195
2024-02-14T17:53:33.077013443Z,211
2024-02-14T17:53:33.792038839Z,198
2024-02-14T17:53:34.521924109Z,195
2024-02-14T17:53:35.241963014Z,196
2024-02-14T17:53:35.95714843Z,183
2024-02-14T17:53:36.676836831Z,151
2024-02-14T17:53:37.397110726Z,156
2024-02-14T17:53:38.342247325Z,159
2024-02-14T17:53:39.03706127Z,157
2024-02-14T17:53:39.757031905Z,158
2024-02-14T17:53:40.762029573Z,157
2024-02-14T17:53:42.046992186Z,158
2024-02-14T17:53:42.747251825Z,183
2024-02-14T17:53:43.451948725Z,181
2024-02-14T17:53:44.171926296Z,177
2024-02-14T17:53:44.866868943Z,176
2024-02-14T17:53:46.017336834Z,177
2024-02-14T17:53:46.717108947Z,173
2024-02-14T17:53:47.497033674Z,170
2024-02-14T17:53:48.207076719Z,169
2024-02-14T17:53:48.977040832Z,168
2024-02-14T17:53:49.806991347Z,166
2024-02-14T17:53:51.647021391Z,165
2024-02-14T17:53:52.486887841Z,163
2024-02-14T17:53:54.402158148Z,162
2024-02-14T17:53:55.337089958Z,163
2024-02-14T17:53:56.252027624Z,172
2024-02-14T17:53:56.977037914Z,190
2024-02-14T17:53:57.68715338Z,149
2024-02-14T17:53:58.372264138Z,154
2024-02-14T17:53:59.052581753Z,128
2024-02-14T17:53:59.742191879Z,127
2024-02-14T17:54:00.517078674Z,128
2024-02-14T17:54:01.21196682Z,129
2024-02-14T17:54:01.957233983Z,130
2024-02-14T17:54:02.917056279Z,132
2024-02-14T17:54:03.636835178Z,130
2024-02-14T17:54:04.356990916Z,132
2024-02-14T17:54:05.06727999Z,130
2024-02-14T17:54:06.936948774Z,132
2024-02-14T17:54:07.77736609Z,130
2024-02-14T17:54:09.366813139Z,129
2024-02-14T17:54:10.077216136Z,130
2024-02-14T17:54:11.006955428Z,132
2024-02-14T17:54:11.696943584Z,158
2024-02-14T17:54:12.41700775Z,144
2024-02-14T17:54:13.131839463Z,232
2024-02-14T17:54:13.881877388Z,154
2024-02-14T17:54:14.61199026Z,138
2024-02-14T17:54:15.337072512Z,144
2024-02-14T17:54:16.067013957Z,168
2024-02-14T17:54:16.747479956Z,186
2024-02-14T17:54:17.456902835Z,157
2024-02-14T17:54:18.152098256Z,151
2024-02-14T17:54:18.882151107Z,161
2024-02-14T17:54:19.642012432Z,162
2024-02-14T17:54:20.357073156Z,198
2024-02-14T17:54:21.5722903Z,135
2024-02-14T17:54:22.517154524Z,130
2024-02-14T17:54:23.21710273Z,129
2024-02-14T17:54:23.906823588Z,133
2024-02-14T17:54:25.312303833Z,134
2024-02-14T17:54:26.027600755Z,135
2024-02-14T17:54:26.737231609Z,139
2024-02-14T17:54:27.632123199Z,136
2024-02-14T17:54:28.387004609Z,135
2024-02-14T17:54:29.232039769Z,126
2024-02-14T17:54:29.937024151Z,187
2024-02-14T17:54:30.65701723Z,172
2024-02-14T17:54:31.363138852Z,181
2024-02-14T17:54:32.057125242Z,169
2024-02-14T17:54:32.767024508Z,176
2024-02-14T17:54:33.482220233Z,160
2024-02-14T17:54:34.337161901Z,123
2024-02-14T17:54:35.133200226Z,124
2024-02-14T17:54:35.837123002Z,123
2024-02-14T17:54:36.636999735Z,124
2024-02-14T17:54:37.356885872Z,123
2024-02-14T17:54:38.072730696Z,124
2024-02-14T17:54:38.777112627Z,123
2024-02-14T17:54:39.506890864Z,124
2024-02-14T17:54:40.997328932Z,123
2024-02-14T17:54:41.686930873Z,124
2024-02-14T17:54:42.40206586Z,123
2024-02-14T17:54:43.116935028Z,124
2024-02-14T17:54:43.827152777Z,123
2024-02-14T17:54:44.521865733Z,124
2024-02-14T17:54:45.292013961Z,123
2024-02-14T17:54:46.237092532Z,124
2024-02-14T17:54:48.716946901Z,123
2024-02-14T17:54:49.067138097Z,124
2024-02-14T17:54:49.782194902Z,140
2024-02-14T17:54:50.467006059Z,125
2024-02-14T17:54:51.577121262Z,166
2024-02-14T17:54:52.286994419Z,161
2024-02-14T17:54:52.982103263Z,158
2024-02-14T17:54:53.722044894Z,151
2024-02-14T17:54:54.442116696Z,163
2024-02-14T17:54:55.112309561Z,161
