time,value
2024-02-14T17:52:19.137232146Z,60
2024-02-14T17:52:28.637879889Z,158
2024-02-14T17:52:30.847041274Z,60
2024-02-14T17:53:05.466772132Z,59
2024-02-14T17:53:29.59206583Z,58
2024-02-14T17:53:54.402158148Z,57
2024-02-14T17:54:05.761820368Z,58
2024-02-14T17:54:24.59702849Z,57
2024-02-14T17:54:33.482220233Z,79
2024-02-14T17:54:35.837123002Z,84
2024-02-14T17:54:38.072730696Z,87
2024-02-14T17:54:40.287009402Z,89
2024-02-14T17:54:47.156817391Z,90
2024-02-14T17:54:49.067138097Z,91
2024-02-14T17:54:51.577121262Z,92
2024-02-14T17:54:55.757076068Z,93
2024-02-14T17:55:16.196981034Z,92
2024-02-14T17:55:20.577064102Z,91
2024-02-14T17:55:25.337127806Z,90
2024-02-14T17:56:01.629176047Z,82
2024-02-14T17:56:04.658965398Z,81
2024-02-15T12:17:05.239723604Z,55
2024-02-15T12:17:20.805020655Z,54
2024-02-15T12:17:28.444916966Z,53
2024-02-15T12:17:36.094734183Z,52
2024-02-15T12:17:51.706521516Z,51
2024-02-15T12:18:14.63528286Z,50
2024-02-15T12:18:45.515103039Z,49
2024-02-15T12:19:16.394716528Z,48
2024-02-15T12:20:48.410168111Z,47
2024-02-15T12:21:24.875878746Z,46
2024-02-15T12:23:36.229147835Z,47
2024-02-15T12:25:08.134219101Z,163.8000030517578
2024-02-15T12:25:10.270551598Z,47
2024-02-15T12:25:30.553412528Z,163.8000030517578
2024-02-15T12:25:32.694737903Z,47
2024-02-15T12:25:46.843970052Z,163.8000030517578
2024-02-15T12:25:48.800455802Z,47
2024-02-15T12:26:04.955741847Z,151
2024-02-15T12:26:07.095343432Z,45
2024-02-15T12:26:45.150115918Z,45
2024-02-15T12:27:24.725125786Z,45
2024-02-15T12:27:26.764197945Z,151
2024-02-15T12:27:30.560169709Z,46
2024-02-15T12:27:39.613728465Z,45
2024-02-15T12:27:45.994151285Z,46
2024-02-15T12:27:58.105373512Z,151
2024-02-15T12:27:59.961187902Z,45
2024-02-15T12:28:58.98682603Z,45
2024-02-15T12:30:10.244521553Z,45
2024-02-15T12:30:20.870699614Z,45
2024-02-15T12:30:31.515318714Z,45
2024-02-15T12:30:37.835435Z,45
2024-02-15T12:32:15.534938529Z,151
2024-02-15T12:32:17.679796927Z,46
2024-02-15T12:32:21.97035281Z,46
2024-02-15T12:32:26.345590871Z,151
2024-02-15T12:32:28.595132637Z,46
2024-02-15T12:32:41.267260287Z,45
2024-02-15T12:32:47.955998208Z,46
2024-02-15T12:33:19.482678621Z,151
2024-02-15T12:33:23.867355831Z,46
2024-02-15T12:33:32.9677968Z,46
2024-02-15T12:33:34.995286396Z,151
2024-02-15T12:33:39.191066314Z,46
2024-02-15T12:33:41.667787307Z,151
2024-02-15T12:33:43.837262208Z,46
2024-02-15T12:34:34.440577213Z,45
2024-02-15T12:35:21.409624019Z,45
2024-02-15T12:36:00.338836441Z,45
2024-02-15T12:37:40.094124094Z,44
2024-02-15T12:37:46.014406738Z,150
2024-02-15T12:37:50.071433637Z,44
2024-02-15T12:37:54.01399301Z,150
2024-02-15T12:37:56.418003099Z,44
2024-02-15T12:37:58.358453244Z,150
2024-02-15T12:38:03.09325054Z,44
2024-02-15T12:38:04.958474451Z,150
2024-02-15T12:38:07.65823624Z,44
2024-02-15T12:38:09.624973647Z,150
2024-02-15T12:38:12.999715406Z,44
2024-02-15T12:38:23.099510324Z,150
2024-02-15T12:38:25.066565265Z,44
2024-02-15T12:38:27.147352577Z,150
2024-02-15T12:38:33.181474153Z,44
2024-02-15T12:39:35.73519922Z,150
2024-02-15T12:39:37.757086834Z,44
2024-02-15T12:39:49.035174617Z,150
2024-02-15T12:39:50.969539683Z,44
2024-02-15T12:40:19.444671556Z,150
2024-02-15T12:40:24.281678771Z,44
2024-02-15T12:40:32.882158605Z,150
2024-02-15T12:40:34.884883353Z,44
2024-02-15T12:40:47.176413904Z,150
2024-02-15T12:40:52.95762354Z,44
2024-02-15T12:40:59.905096673Z,150
2024-02-15T12:41:01.897451939Z,44
2024-02-15T12:41:12.375635228Z,150
2024-02-15T12:41:17.117150091Z,44
2024-02-15T12:41:22.34206335Z,150
2024-02-15T12:41:24.361941787Z,44
2024-02-15T12:41:26.427115286Z,150
2024-02-15T12:41:28.79772235Z,44
2024-02-15T12:41:30.572463827Z,150
2024-02-15T12:41:32.596953819Z,44
2024-02-15T12:41:39.322005701Z,150
2024-02-15T12:41:40.676978951Z,44
2024-02-15T12:41:43.308246134Z,150
2024-02-15T12:41:44.746530057Z,44
2024-02-15T12:41:48.876789893Z,44
2024-02-15T12:41:55.07709096Z,150
2024-02-15T12:41:59.451854069Z,44
2024-02-15T12:43:17.949386808Z,33
2024-02-15T12:43:19.964048683Z,7
2024-02-15T12:43:24.658499056Z,8
2024-02-15T12:43:26.843709775Z,7
2024-02-15T12:43:29.028810985Z,8
2024-02-15T12:43:31.260664087Z,9
2024-02-15T12:43:33.418555899Z,10
2024-02-15T12:43:38.198180415Z,11
2024-02-15T12:43:44.218404057Z,10
2024-02-15T12:43:48.874119018Z,11
2024-02-15T12:43:50.679101619Z,145.8000030517578
2024-02-15T12:43:52.958648711Z,11
2024-02-15T12:43:59.244201238Z,12
2024-02-15T12:44:11.811612854Z,14
2024-02-15T12:44:16.587987524Z,15
