time,value
2024-02-14T17:53:14.236975893Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 108"
2024-02-14T17:53:14.936910589Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 100"
2024-02-14T17:53:15.647151393Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 96"
2024-02-14T17:53:16.362045237Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 93"
2024-02-14T17:53:17.052270369Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 90"
2024-02-14T17:53:17.897150635Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 89"
2024-02-14T17:53:18.612215127Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 87"
2024-02-14T17:53:19.292528832Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 85"
2024-02-14T17:53:20.377075895Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 120"
2024-02-14T17:53:21.067075692Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 96"
2024-02-14T17:53:21.777151158Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 100"
2024-02-14T17:53:22.46711311Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 108"
2024-02-14T17:53:23.167801322Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 115"
2024-02-14T17:53:23.901804972Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 123"
2024-02-14T17:53:24.616893057Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 128"
2024-02-14T17:53:25.321960691Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 153"
2024-02-14T17:53:26.022055478Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 150"
2024-02-14T17:53:26.716954076Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 151"
2024-02-14T17:53:27.427084241Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 154"
2024-02-14T17:53:28.137073319Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 158"
2024-02-14T17:53:28.867068775Z,"'Temperature = 17.40  Humidity = 59.00  Air Quality = 161"
2024-02-14T17:53:29.59206583Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 160"
2024-02-14T17:53:30.287746999Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 148"
2024-02-14T17:53:30.98362766Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 145"
2024-02-14T17:53:31.677138979Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 144"
2024-02-14T17:53:32.367173306Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 195"
2024-02-14T17:53:33.077013443Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 211"
2024-02-14T17:53:33.792038839Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 198"
2024-02-14T17:53:34.521924109Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 195"
2024-02-14T17:53:35.241963014Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 196"
2024-02-14T17:53:35.95714843Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 183"
2024-02-14T17:53:36.676836831Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 151"
2024-02-14T17:53:37.397110726Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 156"
2024-02-14T17:53:38.342247325Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 159"
2024-02-14T17:53:39.03706127Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 157"
2024-02-14T17:53:39.757031905Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 158"
2024-02-14T17:53:40.762029573Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 157"
2024-02-14T17:53:42.046992186Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 158"
2024-02-14T17:53:42.747251825Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 183"
2024-02-14T17:53:43.451948725Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 181"
2024-02-14T17:53:44.171926296Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 177"
2024-02-14T17:53:44.866868943Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 176"
2024-02-14T17:53:46.017336834Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 177"
2024-02-14T17:53:46.717108947Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 173"
2024-02-14T17:53:47.497033674Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 170"
2024-02-14T17:53:48.207076719Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 169"
2024-02-14T17:53:48.977040832Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 168"
